stocks,std,rendimiento,riesgo,coeficiente_variacion,beta,alfa,Riesgo_sistematico,Riesgo_no_sistematico,sharpie,teynor
ETN,0.024814854735285,0.2855185756603314,0.5565391619762714,1.9492222552915817,1.2273213422375666,0.0002142468965168,0.6383708776937295,0.3616291223062705,0.3770059503364784,0.1709565119089389
ETR,0.0229687588384545,-0.0411744520814761,0.515135548120376,-12.511048042631478,1.0117633182598604,-0.0009207889271179,0.5063639419849143,0.4936360580150857,-0.2268809685294037,-0.1155156052529058
ETSY,0.041048131402052,0.8086083466918994,0.9206135959645968,1.138516068664048,1.081605438465841,0.002399081761846,0.1811886165130207,0.8188113834869792,0.7961085409823605,0.6776115583622282
EVRG,0.023634978962722,0.0206861546031072,0.5300773075466081,25.62473875482815,0.9997473325188416,-0.000666315254585,0.4669281271209897,0.5330718728790103,-0.1037845699366324,-0.0550277491196566
EW,0.022394234152633,0.2465826109133628,0.5022503029479689,2.036843965142519,0.9653935811301008,0.0002558162088502,0.4849716504325562,0.5150283495674438,0.3402339628475357,0.1770082319309868
EXC,0.0232244064937996,0.0923175697673886,0.5208691271956801,5.642145135623772,1.1500968658495865,-0.0004946141122645,0.6399699166893262,0.3600300833106737,0.0319035414075247,0.0144488436242395
EXPD,0.0174878504338298,0.2632925348699276,0.3922115897527636,1.4896418918467436,0.7436460710256565,0.0004881239127485,0.4718888144037977,0.5281111855962022,0.4782942161096752,0.2522605069521781
EXPE,0.0362792151824208,0.2613933918261308,0.8136579573069727,3.112771717841236,1.37695088544523,6.500513947866899e-06,0.3759249064837719,0.624075093516228,0.2282204581895011,0.1348583989370745
EXR,0.0208299480763277,0.367905734568581,0.4671670243519372,1.2698008768462208,0.6864578941338106,0.0009460662872923,0.2834205919435467,0.7165794080564533,0.6254845041212708,0.4256717521433611
F,0.0309776319814345,0.3818276306204385,0.694755843903547,1.8195536105509853,1.140282880819847,0.0006615820093339,0.3535971408294091,0.6464028591705909,0.4406262045964715,0.2684663917784481
FANG,0.0540967089241381,0.0744540439130376,1.2132626755821392,16.295457060723674,1.6775903966335284,-0.0009603787227751,0.2509632565570055,0.7490367434429945,-0.0010269466884939,-0.0007427057817347
FAST,0.0195015450332905,0.2641794584820617,0.4373740505777482,1.6555944701031582,0.921170086619538,0.0003587503371594,0.5822662004489247,0.4177337995510752,0.4309342500614525,0.2046087483949178
FB,0.0243590191895759,0.2396348369961661,0.5463158366610831,2.279784707053355,1.0491908967629902,0.000165515650965,0.4841382551380078,0.5158617448619922,0.3000733751342194,0.1562488175430658
FBHS,0.0282736072644084,0.2256484285187339,0.6341108928840693,2.810171987665421,1.280352019575458,-6.303140995152234e-05,0.535150958432167,0.464849041567833,0.2364703558974315,0.1171150013638079
FCX,0.039089326044926,0.5705301475927873,0.8766821724862482,1.5366097237546423,1.6502731992963595,0.0010286266881913,0.4651310117268963,0.5348689882731037,0.5644350519749497,0.2998474118126454
FDX,0.02642427437097,0.2552696509466437,0.592634680764001,2.3216025820784827,1.097830356273555,0.0001911474378904,0.4504476220512636,0.5495523779487363,0.3030022656034062,0.1635677588258444
FE,0.0259112837590372,-0.0900424141511279,0.5811295009709958,-6.453952911520378,0.9676452944833764,-0.0010816829979864,0.3639439341846978,0.6360560658153023,-0.2852073657836898,-0.171284266141776
FFIV,0.0218472809358437,0.2624482783594219,0.4899834213498543,1.8669713682740328,0.8178290790788374,0.0004292408587971,0.3656876371422393,0.6343123628577607,0.3811318306340845,0.2283463417194287
FIS,0.0236147579540007,-0.1204924646933974,0.5296237976079797,-4.395493103702783,1.1271581694001462,-0.0013219266441285,0.5945422155450266,0.4054577844549734,-0.3704374040205354,-0.1740593911481009
FISV,0.0239002714841204,-0.0474735591630962,0.5360271984128927,-11.291068288589052,1.1516963648354792,-0.0010505381870177,0.6059688391281047,0.3940311608718952,-0.2297897560567771,-0.1069496812909466
FITB,0.0359304517624918,0.1628110205905654,0.8058360093840115,4.949517584626627,1.627342276505546,-0.0005721404429001,0.5353187149697233,0.4646812850302767,0.1081001836306048,0.053529624251895
FLT,0.0267676807455004,-0.1178266440033051,0.6003364826861651,-5.095082591585356,1.180483199275691,-0.0013512666981377,0.5075491460861141,0.4924508539138859,-0.3223636237087962,-0.1639384991857972
FMC,0.0263767023593765,0.0363160400617398,0.5915677517914876,16.289434387278483,1.2018405585933103,-0.0007555773354648,0.541792118348547,0.458207881651453,-0.0665755694406784,-0.032769704480898
FOX,0.0260357398781055,-0.0321882335277321,0.5839207606800673,-18.140814101431918,0.9307359779987956,-0.0008244728854896,0.3334979160891248,0.6665020839108752,-0.184765195541394,-0.1159171194388617
FOXA,0.0268825031630747,-0.0038821498732263,0.602911680999215,-155.30355619633923,0.9010963098340669,-0.0006899591289061,0.2932128365201001,0.7067871634798999,-0.1319963642789829,-0.0883170300496303
FRC,0.0242016366170293,0.2744655332209877,0.5427861135992659,1.977611203962131,1.0694660097601008,0.0002885549057086,0.5095941911847193,0.4904058088152807,0.3661949490618962,0.1858549326551988
FRT,0.0319800980930734,0.0189353497405592,0.717238814512592,37.87829769926447,1.1992580989096484,-0.0008226151193308,0.3669827959708784,0.6330172040291215,-0.0791433050064585,-0.0473331389723784
FTNT,0.0288558324865635,0.5865529112320924,0.6471688430786708,1.1033426493771052,1.0950197658754564,0.0015078675365058,0.3757999075484651,0.624200092451535,0.7893657376982105,0.466523917788526
FTV,0.0226519026039422,0.0773552098930473,0.5080292037511008,6.567485298708531,1.0127096180640958,-0.0004511415183925,0.5216034630802369,0.4783965369197631,0.0032580998903721,0.0016344368252484
GD,0.0196830240156976,0.0694609398161879,0.4414441997630873,6.355286883984952,0.9126936293846638,-0.0004075967864878,0.5611078720648355,0.4388921279351645,-0.0141332929216431,-0.0068358756793541
GE,0.0317502382599483,0.0226772508465247,0.7120835959846524,31.400790192951405,1.2569028060053864,-0.0008509186901282,0.4089680514998328,0.5910319485001672,-0.0744614107844412,-0.0421852420888366
GILD,0.0188196819831297,0.0439693780857292,0.4220814569048336,9.599441140192638,0.4798286366008635,-0.0001847143706194,0.1696397931670323,0.8303602068329677,-0.0751765361761084,-0.0661290708679926
GIS,0.016377588309927,0.1153363519974972,0.3673110066704743,3.1846941602457206,0.3973182443415819,0.000160254552329,0.1535879288265384,0.8464120711734615,0.1079095134033274,0.0997597078965775
